                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 3.2067,                 3.6677,                 3.0221,                 3.5269,                0.14838,                0.20408,                0.08984,                0.02849,                0.12107,                0.20408,                0.07612,                0.02956,                 2.6091,                 4.0502,                 3.1555,                 3.4974,             0.00010291,             1.9938e-05,             1.9938e-05
                     59,                 3.1599,                 3.7109,                  3.034,                  3.545,                0.14739,                0.14286,                0.08772,                0.03107,                0.14739,                0.14286,                0.07637,                0.02725,                 2.6101,                 4.0379,                 3.0865,                 3.4892,             0.00010313,              2.028e-05,              2.028e-05
                     60,                 3.0996,                 3.6791,                  2.944,                 3.4892,                0.14359,                0.18367,                0.08732,                0.02705,                0.12764,                0.16327,                0.07299,                0.02595,                 2.6328,                 4.0073,                 3.0793,                 3.4949,             0.00010336,             2.0622e-05,             2.0622e-05
                     61,                  3.192,                  3.586,                 2.9765,                 3.4657,                0.21556,                0.18367,                0.09554,                0.03282,                0.21556,                0.18367,                 0.0862,                0.03486,                 2.6001,                 3.9761,                  3.063,                 3.5133,             0.00010359,             2.0964e-05,             2.0964e-05
                     62,                 3.1652,                 3.7187,                  3.026,                 3.4752,                0.18491,                 0.2269,                0.11966,                0.03337,                0.15085,                0.20408,                0.08416,                0.03127,                 2.6227,                 3.9687,                 3.0131,                 3.5409,             0.00010381,             2.1306e-05,             2.1306e-05
                     63,                 3.1556,                 3.6997,                 2.9636,                 3.4811,                0.16562,                0.20408,                 0.1096,                0.03269,                0.17136,                0.20408,                0.09845,                0.03425,                 2.6304,                 3.9955,                 3.0953,                 3.5248,             0.00010404,             2.1647e-05,             2.1647e-05
                     64,                 3.1143,                 3.6276,                 2.9792,                 3.4184,                0.23223,                0.20408,                0.10103,                0.03226,                0.17551,                0.18367,                 0.0755,                0.02952,                 2.5907,                 4.0179,                 3.0747,                 3.4217,             0.00010426,             2.1989e-05,             2.1989e-05
                     65,                  3.063,                 3.5745,                  2.948,                 3.3798,                0.33738,                0.14286,                0.13052,                 0.0425,                0.26422,                0.16327,                0.10109,                0.03634,                 2.6221,                 4.0425,                 2.9725,                 3.4164,             0.00010448,             2.2331e-05,             2.2331e-05
                     66,                 3.0651,                 3.5713,                 2.8979,                 3.3917,                0.21216,                0.26531,                  0.129,                0.03822,                0.17904,                0.20408,                 0.0916,                0.03485,                 2.5662,                 3.9126,                 2.9582,                  3.438,             0.00010471,             2.2672e-05,             2.2672e-05
                     67,                 3.0598,                 3.5336,                 2.9147,                 3.3695,                0.16066,                0.18367,                0.12006,                0.04093,                0.14281,                0.16327,                0.09573,                0.03622,                 2.5413,                 3.9632,                 2.9252,                 3.3205,             0.00010493,             2.3014e-05,             2.3014e-05
                     68,                 3.0552,                  3.628,                 2.9292,                 3.3514,                 0.2652,                 0.2449,                0.15875,                0.04778,                0.40491,                0.12245,                0.11119,                0.04434,                  2.609,                 3.9543,                 2.9783,                 3.4032,             0.00010516,             2.3355e-05,             2.3355e-05
                     69,                 3.0031,                 3.6428,                 2.8892,                  3.292,                0.23887,                0.26531,                0.15347,                0.05283,                 0.1979,                0.22449,                0.11917,                0.04345,                 2.5988,                 3.9347,                 2.9584,                  3.282,             0.00010538,             2.3697e-05,             2.3697e-05
                     70,                 2.9757,                 3.4724,                 2.8269,                  3.304,                0.33692,                0.28571,                0.16748,                0.05265,                0.26211,                0.22449,                0.11492,                0.04085,                 2.5735,                 3.9139,                 2.9873,                 3.2387,             0.00010561,             2.4038e-05,             2.4038e-05
                     71,                  2.959,                 3.5725,                 2.8562,                  3.267,                0.39079,                 0.2449,                0.19723,                0.06747,                0.34765,                0.18494,                0.14371,                 0.0553,                 2.5189,                 3.8387,                 2.8514,                 3.1923,             0.00010583,             2.4379e-05,             2.4379e-05
                     72,                 2.9434,                 3.5063,                 2.8253,                  3.255,                0.32114,                0.29938,                0.21915,                0.07474,                0.26742,                0.18367,                0.14045,                0.05664,                 2.5281,                 3.8413,                 2.7975,                 3.2338,             0.00010606,              2.472e-05,              2.472e-05
                     73,                   2.93,                 3.5723,                 2.8722,                 3.2382,                0.28791,                0.16327,                0.17127,                0.06388,                0.34561,                0.18367,                0.15703,                0.05811,                 2.5325,                 3.9182,                 2.8983,                 3.2049,             0.00010628,             2.5062e-05,             2.5062e-05
