                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 2.9959,                 3.5389,                 2.6938,                 2.8988,                0.19969,                 0.2449,                0.18766,                0.06914,                0.23278,                0.22449,                0.17927,                0.07421,                  2.721,                 3.7339,                 2.7421,                 2.6655,              0.0044928,             9.1544e-07,             9.1544e-07
                     63,                 3.0713,                 3.5142,                 2.5713,                 2.8768,                0.21408,                0.16327,                0.17904,                0.07043,                0.29393,                0.14286,                 0.1576,                0.07477,                 2.7439,                 3.9322,                 2.7923,                 2.6609,              0.0044875,             9.3014e-07,             9.3014e-07
                     64,                 2.9898,                 3.5015,                 2.5904,                 2.9154,                0.29408,                0.22449,                0.20833,                0.07078,                0.35732,                 0.2449,                0.18831,                0.08194,                 2.7493,                 3.7289,                 2.7611,                 2.6467,              0.0044821,             9.4484e-07,             9.4484e-07
                     65,                 3.1028,                 3.6027,                 2.6398,                 2.9558,                      1,                0.05312,                0.17483,                0.05675,                      1,                0.05248,                0.18963,                0.07719,                 2.8309,                 4.0151,                 3.3161,                 2.7383,              0.0044768,             9.5953e-07,             9.5953e-07
                     66,                 3.0293,                 3.5122,                 2.6058,                 2.9074,                0.47917,                0.18367,                0.20643,                0.06997,                0.50724,                0.18367,                0.18643,                0.07145,                 2.7842,                 3.9667,                 2.8815,                 2.6791,              0.0044714,             9.7422e-07,             9.7422e-07
                     67,                 3.0286,                 3.6284,                 2.6127,                 2.8984,                0.27175,                0.28571,                0.15436,                0.04993,                 0.2639,                 0.2449,                0.13594,                0.04481,                 2.7703,                 3.8268,                  2.766,                 2.6571,              0.0044661,             9.8891e-07,             9.8891e-07
                     68,                 2.9463,                 3.5906,                 2.6262,                 2.8655,                0.32758,                0.26531,                0.22914,                0.07233,                0.35796,                0.26178,                0.19183,                0.06536,                 2.6872,                 3.6707,                 2.6296,                 2.6216,              0.0044607,             1.0036e-06,             1.0036e-06
                     69,                 2.9764,                 3.6154,                 2.6377,                 2.9213,                0.29169,                0.34694,                0.18828,                 0.0616,                0.22299,                0.18367,                0.12163,                0.04135,                 2.7412,                 4.7268,                  2.697,                 2.6454,              0.0044554,             1.0183e-06,             1.0183e-06
                     70,                 3.0018,                 3.5769,                 2.5697,                 2.9318,                0.34843,                0.34694,                0.20522,                0.06627,                0.28285,                0.26531,                0.16981,                0.06004,                 2.7106,                 3.7138,                 2.5878,                  2.655,                0.00445,             1.0329e-06,             1.0329e-06
                     71,                  2.923,                 3.4485,                 2.5136,                 2.8445,                0.47781,                0.24284,                0.21164,                0.06243,                0.47407,                0.20243,                0.19006,                0.07554,                 2.7759,                 3.8191,                 2.8817,                 2.6694,              0.0044447,             1.0476e-06,             1.0476e-06
                     72,                 2.8641,                 3.4762,                 2.5738,                 2.8846,                0.49408,                0.30612,                0.27815,                0.09133,                0.54589,                0.30612,                0.25211,                0.11451,                 2.7542,                 3.7558,                 2.6953,                 2.6978,              0.0044393,             1.0623e-06,             1.0623e-06
                     73,                 2.8001,                  3.451,                 2.5476,                  2.797,                0.36386,                0.30355,                0.24282,                0.08831,                0.44784,                0.28571,                0.24738,                0.10286,                 2.7593,                 3.7073,                 2.6145,                 2.6831,               0.004434,              1.077e-06,              1.077e-06
                     74,                  2.841,                 3.4617,                 2.5533,                 2.8584,                 0.3455,                0.30612,                0.24132,                0.07946,                 0.4068,                0.30612,                0.23615,                0.09428,                 2.7219,                 3.5868,                 2.5129,                  2.671,              0.0044286,             1.0916e-06,             1.0916e-06
                     75,                 2.9211,                 3.5788,                 2.5675,                 2.8469,                0.36807,                 0.2449,                0.22398,                0.06538,                 0.4238,                0.25535,                0.22258,                0.08474,                  2.757,                  3.701,                 2.6959,                 2.6726,              0.0044233,             1.1063e-06,             1.1063e-06
                     76,                 2.8906,                 3.6033,                 2.5526,                 2.8548,                0.45529,                0.32653,                0.24563,                0.06634,                0.42551,                 0.3024,                0.20478,                0.06656,                 2.7329,                 3.8584,                  2.671,                 2.6521,              0.0044179,              1.121e-06,              1.121e-06
                     77,                 2.7958,                 3.4535,                 2.5581,                 2.8105,                0.34121,                0.28571,                0.16884,                0.05377,                0.42172,                0.26531,                    0.2,                0.07117,                 2.7645,                 3.8062,                  2.728,                   2.68,              0.0044126,             1.1356e-06,             1.1356e-06
                     78,                 2.8335,                 3.5157,                 2.6075,                 2.8716,                0.42104,                0.30612,                0.25465,                0.09336,                0.45369,                0.30612,                0.26467,                0.10012,                 2.6855,                 3.7082,                 2.6666,                 2.6617,              0.0044072,             1.1503e-06,             1.1503e-06
                     79,                 2.9387,                 3.4915,                 2.6444,                 2.8722,                0.39577,                0.12245,                0.14372,                0.04309,                0.56128,                0.15698,                 0.1929,                0.07772,                 2.8144,                 3.9929,                  3.017,                 2.7305,              0.0044019,             1.1649e-06,             1.1649e-06
                     80,                 2.8798,                 3.4506,                 2.6044,                   2.87,                0.44288,                0.14617,                0.17839,                0.05183,                0.61898,                0.14286,                0.19977,                0.09454,                 2.8058,                 3.6499,                 2.8736,                 2.7061,              0.0043965,             1.1796e-06,             1.1796e-06
                     81,                 2.8422,                 3.2608,                 2.5516,                 2.8961,                0.32888,                0.22449,                0.19405,                0.06648,                0.40421,                 0.2449,                0.21536,                0.09375,                 2.7616,                 3.6411,                 2.7758,                 2.6922,              0.0043912,             1.1942e-06,             1.1942e-06
                     82,                  2.825,                 3.4105,                 2.4933,                 2.8702,                0.33135,                0.13173,                0.19812,                0.06763,                0.42179,                0.17883,                0.19988,                0.07832,                 2.7456,                 3.6797,                 2.9426,                 2.6751,              0.0043858,             1.2089e-06,             1.2089e-06
                     83,                 2.8196,                 3.3535,                 2.5808,                 2.8001,                0.36689,                 0.2449,                0.19209,                0.05834,                0.37355,                 0.2449,                0.17392,                0.05371,                 2.7712,                 4.4574,                 2.7229,                  2.659,              0.0043805,             1.2235e-06,             1.2235e-06
                     84,                 2.8307,                 3.4018,                 2.5046,                 2.7954,                0.46778,                0.26531,                0.24372,                0.07197,                0.51607,                0.28571,                0.22321,                 0.0911,                 2.7486,                 3.5989,                 2.7302,                 2.6475,              0.0043751,             1.2381e-06,             1.2381e-06
                     85,                 2.8288,                  3.448,                 2.4836,                 2.8463,                0.50634,                0.34694,                0.29894,                 0.1002,                0.55823,                0.28375,                 0.2483,                0.10634,                 2.7093,                 3.6265,                 2.5898,                  2.605,              0.0043698,             1.2528e-06,             1.2528e-06
                     86,                 2.8071,                 3.4396,                 2.5432,                 2.7803,                0.42887,                0.34694,                0.28811,                0.09908,                0.36838,                0.30612,                 0.2379,                 0.0916,                  2.678,                 3.6084,                 2.5607,                 2.5913,              0.0043644,             1.2674e-06,             1.2674e-06
                     87,                 2.7511,                 3.5433,                 2.5103,                 2.8187,                0.42557,                0.37811,                  0.282,                0.08896,                0.36906,                0.34694,                0.23343,                0.09201,                 2.6736,                 3.6733,                  2.524,                 2.6015,               0.004359,              1.282e-06,              1.282e-06
                     88,                 2.7809,                 3.6045,                 2.5405,                 2.7955,                0.40749,                0.28571,                0.26861,                0.08116,                 0.3666,                0.24813,                0.22199,                 0.0897,                 2.6827,                 3.5876,                 2.6288,                 2.6155,              0.0043537,             1.2967e-06,             1.2967e-06
                     89,                 2.7145,                 3.3689,                  2.525,                  2.802,                0.47545,                0.32653,                0.27994,                0.09673,                0.46728,                0.28644,                0.23663,                0.07963,                  2.668,                 4.1696,                 2.4749,                 2.5914,              0.0043483,             1.3113e-06,             1.3113e-06
                     90,                  2.794,                 3.4297,                 2.5445,                  2.835,                0.38512,                0.26531,                0.27382,                0.09832,                0.41253,                0.26531,                0.24256,                 0.1085,                 2.7698,                 3.7731,                 2.6121,                 2.6701,               0.004343,             1.3259e-06,             1.3259e-06
                     91,                 2.7146,                 3.4232,                 2.4931,                  2.806,                0.45392,                0.26531,                0.28777,                0.08706,                0.46472,                0.26531,                 0.2592,                0.11698,                 2.6388,                 3.6499,                 2.5392,                 2.6311,              0.0043376,             1.3405e-06,             1.3405e-06
                     92,                 2.8053,                 3.4883,                 2.5446,                  2.865,                0.50782,                0.27392,                0.27645,                0.07797,                0.46791,                0.25142,                0.23689,                0.09543,                 2.6456,                 3.7123,                 2.6403,                 2.6444,              0.0043323,             1.3551e-06,             1.3551e-06
                     93,                 2.7757,                 3.4343,                 2.4871,                 2.7856,                0.56163,                0.30612,                0.28753,                0.08751,                0.59786,                0.30612,                0.25302,                 0.1027,                 2.6561,                 3.7361,                 2.5722,                 2.6083,              0.0043269,             1.3697e-06,             1.3697e-06
